Глиф (глаголица),Название,Латиница/транскрипция,Кириллица,Транскрипция (русский),Числовое значение
Ⰰ,Аз,A,А,Az,1.0
Ⰱ,Буки,B,Б,Buki,2.0
Ⰲ,Веди,V,В,Vedi,3.0
Ⰳ,Глаголи,G / Ǵ,Г / Ѓ,Glagoli,4.0
Ⰴ,Добро,D,Д,Dobro,5.0
Ⰵ,Есть,E / Ê / Ë,Э / Е / Ё / Є,Est’,6.0
Ⰶ,Живете,Ž,Ж,Zhivete,7.0
Ⰷ,Зело,Ẑ,Ѕ,Zelo,8.0
Ⰸ,Земля,Z,З,Zemlya,9.0
Ⰺ/Ⰹ,Иже,Ì / Ï,Ι / Ї,Izhe,10.0
Ⰻ,И,I / J,И,I,20.0
Ⰼ,Герв,Ḋ / Ć / Đ,Ꙉ / Ћ / Ђ,Gerv,30.0
Ⰽ,Како,K,К,Kako,40.0
Ⰾ,Люди,L / L̂,Л / Љ,Lyudi,50.0
Ⰿ,Мыслете,M,М,Myslete,60.0
Ⱀ,Наш,N / N̂,Н / Њ,Nash,70.0
Ⱁ,Он,O,О,On,80.0
Ⱂ,Покой,P,П,Pokoj,90.0
Ⱃ,Рцы,R,Р,Rtsy,100.0
Ⱄ,Слово,S,С,Slovo,200.0
Ⱅ,Твердо,T,Т,Tverdo,300.0
Ⱆ,Ук,U / Ȣ,У / Ѹ,Uk,400.0
Ⱇ,Ферт,F,Ф,Fert,500.0
Ⱈ,Хер,X,Х,Kher,600.0
Ⱉ,От,_,Ѡ,Ot,700.0
Ⱌ,Цы,C,Ц,Tsy,900.0
Ⱍ,Червь,Č / D̂,Ч / Џ,Cherv’,1000.0
Ⱎ,Ша,Š,Ш,Sha,
Ⱋ,Шта,Ŝ,Щ,Shta,800.0
Ⱏ,Ер,Ŭ,Ъ,Er,
ⰟⰊ,Еры,Y,Ы,Ery,
Ⱐ,Ерь,Ĭ,Ь,Er’,
Ⱑ,Ять,Ě / Â,Ѣ / Я,Yat’,
Ⱓ,Ю,Û,Ю,Yu,
Ⱔ,Юс малый,Ȩ̌,Ѧ,Yus malyy,
Ⱗ,Юс малый йотированный,JȨ̌,Ѩ,Yus malyy iot.,
Ⱘ,Юс большой,Ǎ,Ѫ,Yus bol’shoy,
Ⱙ,Юс большой йотированный,JǍ,Ѭ,Yus bol’sh. iot.,
Ⱚ,Фита,F̀,Ѳ,Fita,
Ⱛ,Ижица,Ỳ,Ѵ,Izhitsa,
